ID,sec,faculty,score
63130042997,4,engineering,11
63130041220,4,engineering,12
63130044122,2,engineering,8
63130041994,4,engineering,11
63130043295,1,engineering,9
63130043833,1,engineering,9
63130041521,2,engineering,11
63130042795,4,engineering,11
63130041499,2,engineering,11
63130044098,1,engineering,11
63130042942,2,engineering,11
63130042951,1,engineering,6
63120041081,5,agriculture,12
63130041419,3,engineering,11
63130043529,2,engineering,9
63130044801,1,engineering,12
63120041137,5,agriculture,12
63120041458,5,agriculture,11
63130044720,1,engineering,11
63130041701,4,engineering,11
63130041619,4,engineering,10
63120041432,5,agriculture,6
63120040981,5,agriculture,9
63130043192,3,engineering,9
63130043240,3,engineering,9
63130042612,3,engineering,10
63130042865,1,engineering,11
63130042625,4,engineering,9
63130042878,3,engineering,10
63120041164,5,agriculture,12
63130041312,4,engineering,12
63120041063,5,agriculture,10
63130044892,3,engineering,11
63130042106,2,engineering,12
63130042223,4,engineering,11
63130044658,1,engineering,12
63130043112,3,engineering,11
63120040448,5,agriculture,12
63130641183,1,engineering,8
63130040621,1,engineering,11
63130043024,1,engineering,10
63120040457,5,agriculture,7
63130044458,1,engineering,7
63130042315,4,engineering,8
63130042197,1,engineering,7
63130042089,1,engineering,9
63120041502,5,agriculture,11
63130043550,2,engineering,7
63130041127,1,engineering,11
63130043462,2,engineering,8
63130041712,2,engineering,6
63130044036,2,engineering,8
63130044593,1,engineering,10
63130045606,3,engineering,4
63120040705,5,agriculture,5
63130045316,1,engineering,11
6.31E+11,1,engineering,11
63130041217,4,engineering,9
63130042809,2,engineering,11
63130042935,3,engineering,9
63130042685,1,engineering,11
63130043596,2,engineering,11
63130041275,1,engineering,10
63130040421,1,engineering,11
63120540102,3,agriculture,9
63130044144,3,engineering,11
63130043378,2,engineering,9
63130040816,1,engineering,11
63130044513,3,engineering,11
63120540030,5,agriculture,6
63120540126,5,agriculture,10
63120040181,5,agriculture,10
63130044021,,engineering,5
63120040879,5,agriculture,8
63120540092,5,agriculture,11
63130044007,1,engineering,10
63130044825,,engineering,11
63130042854,2,engineering,12
63130042412,4,engineering,8
63120040839,5,agriculture,8
63120040918,5,agriculture,9
63130043046,2,engineering,9
63120040800,5,agriculture,8
63130044137,1,engineering,6
63130041367,4,engineering,11
63130043970,2,engineering,8
63130044076,2,engineering,8
63130044403,2,engineering,8
63130044531,1,engineering,9
63120041557,5,agriculture,5
63130042340,1,engineering,10
63130043383,2,engineering,3
63130045121,2,engineering,11
63130042096,3,engineering,12
63130042845,3,engineering,9
63130041820,,engineering,11
63130041477,4,engineering,10
63130041464,3,engineering,9
63130041817,3,engineering,3
63130042555,4,engineering,9
63130042980,2,engineering,11
63130043228,1,engineering,7
63130044487,1,engineering,8
63130041598,4,engineering,2
63120040761,5,agriculture,10
63130042430,2,engineering,10
63130043912,3,engineering,12
63130043011,1,engineering,10
63130044108,2,engineering,11
63130043873,2,engineering,11
63130045075,1,engineering,12
63130042485,2,engineering,12
63130041172,4,engineering,7
63130043365,3,engineering,11
63130041385,3,engineering,10
63130043125,1,engineering,7
63130042647,1,engineering,6
63130042425,,engineering,9
63130044432,2,engineering,12
63130042290,4,engineering,6
63130045266,4,engineering,11
