ID,faculty,sec,score
63120540092,agriculture,5,11
63120540025,agriculture,5,7
63130045152,engineering,2,6
63130043130,engineering,3,10
63130042845,engineering,3,10
63130044801,engineering,1,10
63120540012,engineering,5,9
63130043541,engineering,2,10
63130041385,engineering,3,7
63130041817,engineering,3,8
63130042997,engineering,4,8
63130043956,engineering,1,11
63130043112,engineering,3,10
63130044593,engineering,1,8
63130045316,engineering,1,6
63130044735,engineering,1,4
63130042096,engineering,3,9
63130042388,engineering,4,2
63130041994,engineering,4,9
63130042591,engineering,3,9
63120540126,agriculture,5,11
63130043378,engineering,2,6
63130044548,engineering,3,10
63120040198,engineering,5,8
63130043912,engineering,3,6
63130041330,engineering,,5
63130043497,engineering,3,8
63130043309,engineering,2,10
63130042854,engineering,2,8
63130043125,engineering,1,6
