i,X,Y
503,3.91,1.5
504,3.69,1.5
505,3.91,0
506,3.67,4
507,3.79,2.5
508,3,2.5
509,2.12,1.5
510,3.89,2
511,3.24,1.5
512,2.08,0
513,3.46,2.5
514,3.29,2
515,3.25,2
516,3.14,2
517,2.84,1
518,3.18,1.5
519,3,1
520,2.57,1
521,2.08,0
522,2.53,1.5
523,3.46,2
524,2.12,0
525,2.16,0
526,2.21,1.5
527,2.53,0
528,2.98,0
529,2,0
530,2.12,0
531,2.12,0
532,2.76,0
533,2.5,1.5
534,3.68,3.5
535,3.15,2.5
536,3.78,2.5
537,3.51,2.5
538,2.75,2.5
539,2.6,2.5
540,3.75,2.5
541,3.14,2
542,3.29,2
543,3.6,1
544,2.25,2
545,2.35,1.5
546,2.39,1
547,1.5,0
548,2.3,0
549,2.25,0
550,1.5,0
551,3.5,1
552,1.5,0
553,2.3,1
554,2.37,0
555,2.3,0
556,2.64,0
557,1.39,0
558,3.79,2
559,4,2.5
560,3.92,2
561,3.75,1.5
562,3.75,0
563,3.18,1
564,3.18,0
565,2.43,0
566,3.96,1.5
567,3.2,2.5
568,2.91,2.5
569,2.35,2
570,3.83,2
571,3.05,2
572,2.5,2
573,2.63,2
574,2.47,2
575,2.32,1.5
576,2.32,0
577,2.47,0
578,2.63,0
579,1.47,0
580,2.47,0
581,2.63,0
582,3.67,1
583,4,2
584,4,3.5
585,3.57,3.5
586,3.8,2
587,3.66,2
588,2.84,2
589,2.84,0
590,2.84,0
591,2.77,2
592,2.77,0
593,2.77,0
594,3.45,1.5
595,4,2.5
596,3.04,3.5
597,2.91,1
598,3.55,1
599,3.8,2
600,3.34,1.5
601,2.96,0
602,2.96,0
603,3.87,2
604,3.55,2
605,3.42,1.5
606,3.26,2
607,2.32,0
608,2.32,0
609,2.9,0
610,2.25,1.5
611,3.85,2
612,3.25,1.5
613,3.65,1.5
614,3.65,0
615,3.4,1.5
616,3.2,1.5
617,3.4,0
618,2.87,2
619,3.9,2
620,3.7,2
621,3,2
622,3.75,2
623,3.04,1
624,3.67,1
625,3.72,1
626,3.64,2
627,4,2.5
628,2.72,1.5
629,3.77,2
630,3.72,1.5
631,2.88,1
632,4,3
633,3.8,2
634,3.87,1.5
635,3.8,0
636,2.91,0
637,2.52,1
638,3.5,2
639,3.4,2
640,2.76,1
641,2.5,0
642,2.5,0
643,3.9,2
644,3.48,2
645,3.82,2
646,3.29,2.5
647,4,4
648,3.26,3
649,2.2,2
650,3.77,2.5
651,2.66,2
652,1.78,0
653,2.66,0
654,3.68,1
655,1.78,0
656,3.7,0
657,3.68,2.5
658,2.92,0
659,1.77,0
660,2.66,2
661,3.27,0
662,3.43,0
663,3.27,0
664,2.83,0
665,2.83,1
666,4,2
667,3.68,2
668,3.93,2
669,3.87,1
670,1.91,0
671,3.25,0
672,3.87,0
673,3.08,0
674,4,3.5
675,3.09,2
676,3.68,2.5
677,3.54,2
678,3.54,0
679,3,2.5
680,2.61,2
681,3.5,2.5
682,2.5,2
683,3.38,1.5
684,4,2
685,3.81,2
686,3.42,2
687,3.87,2
688,3.9,2
689,3.4,2
690,2.65,1
691,3.87,1.5
692,4,1.5
693,2.65,0
694,2.28,0
695,3.35,2
696,3.55,1
697,3.43,1
698,2.95,0
699,3.88,2
700,3.88,4
701,3.76,2
702,3.88,2
703,3.7,2
704,3.22,2
705,3.94,1.5
706,3.65,2
707,3.58,2
708,3.58,1
709,2.98,0
710,3.22,0
711,2.86,2
712,2.98,1.5
713,2.86,0
714,4,2.5
715,2.68,1
716,3.42,2.5
717,2.38,2
718,2.82,2
719,2.38,0
720,3.84,1
721,2.38,0
722,3.56,2.5
723,2,0
724,2,0
725,4,3
726,4,2.5
