ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
545,2.35,2
546,2.39,1.9
547,1.5,1.84
548,2.3,1.74
549,2.25,1.48
550,1.5,1.48
551,3.5,1.42
552,1.5,1.42
553,2.3,1.4
554,2.37,1.33
555,2.3,1.33
556,2.64,0.5
557,1.39,0.5
558,3.79,3.12
559,4,3.03
560,3.92,2.6
561,3.75,1.93
562,3.75,1.92
563,3.18,1.62
564,3.18,1.47
565,2.43,1.08
566,3.96,2.68
567,3.2,3.47
568,2.91,3.03
569,2.35,2.74
570,3.83,1.9
571,3.05,2.68
572,2.5,2.53
573,2.63,2
574,2.47,2
575,2.32,1.87
576,2.32,1.85
577,2.47,1.78
578,2.63,1.75
579,1.47,1.03
580,2.47,0.91
581,2.63,0.5
582,3.67,2.48
583,4,3
584,4,3.93
585,3.57,3.41
586,3.8,2.96
587,3.66,2.48
588,2.84,2
589,2.84,1.65
590,2.84,1.08
591,2.77,1.75
592,2.77,1.7
593,2.77,1.53
594,3.45,2.45
595,4,2.42
596,3.04,2.25
597,2.91,2.05
598,3.55,2
599,3.8,1.43
600,3.34,2.87
601,2.96,1.89
602,2.96,0.86
603,3.87,3.15
604,3.55,2.83
605,3.42,2.8
606,3.26,2.6
607,2.32,1.87
608,2.32,1.5
609,2.9,0.13
610,2.25,3.15
611,3.85,2.59
612,3.25,2.36
613,3.65,2.25
614,3.65,2.17
615,3.4,2.12
616,3.2,2.03
617,3.4,1.83
618,2.87,3.25
619,3.9,3.03
620,3.7,2.7
621,3,2.39
622,3.75,2.2
623,3.04,1.63
624,3.67,2.67
625,3.72,2.06
626,3.64,1.62
627,4,3.25
628,2.72,2.5
629,3.77,2.36
630,3.72,2.25
631,2.88,1.93
632,4,3.28
633,3.8,2.89
634,3.87,2.73
635,3.8,2.24
636,2.91,2.03
637,2.52,2.03
638,3.5,2
639,3.4,1.74
640,2.76,1.18
641,2.5,0.95
642,2.5,0.71
643,3.9,3.09
644,3.48,2.86
645,3.82,2.81
646,3.29,3.72
647,4,4
648,3.26,3.64
649,2.2,2.53
650,3.77,2.48
